,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"beta[24, 0]",-1.01,0.28,-1.51,-0.47,0.01,0.01,1432.35,1166.08,1.0
"beta[24, 1]",-0.06,0.24,-0.5,0.4,0.01,0.01,963.43,1038.98,1.0
"beta[24, 2]",0.39,0.26,-0.11,0.85,0.01,0.01,1069.48,810.54,1.0
"beta[25, 0]",0.54,0.25,0.1,1.01,0.01,0.01,1127.02,1244.15,1.0
"beta[25, 1]",-0.08,0.23,-0.48,0.37,0.01,0.0,1351.18,1317.17,1.0
"beta[25, 2]",0.99,0.26,0.5,1.49,0.01,0.01,1365.76,1551.72,1.0
"beta[26, 0]",0.67,0.26,0.18,1.15,0.01,0.0,1390.49,1441.2,1.0
"beta[26, 1]",-0.26,0.23,-0.69,0.16,0.01,0.0,1287.54,1361.16,1.0
"beta[26, 2]",-0.64,0.28,-1.13,-0.08,0.01,0.01,1548.53,1368.54,1.0
"beta[27, 0]",1.16,0.31,0.61,1.73,0.01,0.01,1330.25,1193.98,1.0
"beta[27, 1]",1.04,0.28,0.55,1.6,0.01,0.01,1540.07,1247.69,1.0
"beta[27, 2]",-0.59,0.29,-1.11,-0.03,0.01,0.01,1435.8,1486.07,1.0
"beta[28, 0]",0.09,0.25,-0.4,0.53,0.01,0.01,1014.38,1177.79,1.0
"beta[28, 1]",-0.11,0.23,-0.51,0.34,0.01,0.0,1257.67,1159.28,1.0
"beta[28, 2]",0.71,0.27,0.23,1.22,0.01,0.01,1049.07,1041.45,1.0
"beta[29, 0]",1.18,0.33,0.59,1.79,0.01,0.01,845.39,890.78,1.0
"beta[29, 1]",-0.44,0.28,-1.0,0.07,0.01,0.01,1287.11,1325.01,1.0
"beta[29, 2]",-0.78,0.31,-1.41,-0.21,0.01,0.01,973.55,1133.96,1.0
sigma_alpha,0.59,0.08,0.45,0.73,0.0,0.0,376.44,343.09,1.01
