,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha[21],-0.03,0.36,-0.7,0.67,0.01,0.01,860.86,965.89,1.0
alpha[22],0.49,0.4,-0.27,1.23,0.02,0.01,555.41,578.83,1.0
alpha[23],-0.52,0.42,-1.35,0.27,0.02,0.01,554.15,468.03,1.01
alpha[24],-0.09,0.39,-0.82,0.64,0.02,0.01,406.67,468.2,1.02
alpha[25],0.2,0.33,-0.45,0.77,0.01,0.01,638.84,797.22,1.0
alpha[26],-0.09,0.33,-0.71,0.53,0.01,0.01,1012.6,804.45,1.01
alpha[27],0.09,0.34,-0.54,0.77,0.01,0.01,804.17,527.87,1.01
alpha[28],-0.0,0.38,-0.72,0.66,0.03,0.02,103.11,158.53,1.03
alpha[29],-0.23,0.35,-0.89,0.41,0.02,0.01,434.45,680.91,1.02
alpha[30],0.25,0.38,-0.46,0.97,0.01,0.01,1055.47,1166.23,1.01
alpha[31],0.09,0.34,-0.56,0.7,0.01,0.01,616.13,679.0,1.0
alpha[32],-0.17,0.37,-0.91,0.49,0.02,0.01,542.32,359.0,1.0
alpha[33],0.81,0.43,0.01,1.59,0.02,0.02,311.66,746.7,1.02
alpha[34],-0.27,0.4,-0.97,0.55,0.02,0.02,469.1,330.11,1.02
alpha[35],-0.48,0.34,-1.17,0.11,0.01,0.01,880.07,929.22,1.0
alpha[36],0.59,0.33,-0.07,1.15,0.01,0.01,776.35,910.94,1.0
alpha[37],-0.25,0.39,-0.96,0.49,0.02,0.02,507.45,377.2,1.01
alpha[38],0.32,0.34,-0.28,1.03,0.01,0.01,819.18,925.36,1.01
alpha[39],-0.29,0.35,-0.96,0.35,0.01,0.01,1105.2,1079.62,1.01
alpha[40],0.01,0.34,-0.68,0.6,0.01,0.01,982.58,956.37,1.0
alpha[41],0.72,0.39,0.05,1.49,0.02,0.02,395.28,311.88,1.01
alpha[42],-0.15,0.35,-0.78,0.51,0.02,0.01,483.31,729.89,1.02
alpha[43],-0.34,0.35,-0.99,0.31,0.01,0.01,845.21,896.69,1.0
alpha[44],0.39,0.4,-0.3,1.2,0.02,0.01,557.24,1151.83,1.01
alpha[45],-0.09,0.38,-0.82,0.62,0.02,0.01,579.77,941.24,1.02
alpha[46],0.55,0.38,-0.15,1.25,0.02,0.01,590.16,887.08,1.01
alpha[47],0.02,0.36,-0.71,0.66,0.02,0.01,534.19,756.57,1.02
alpha[48],-0.16,0.39,-0.93,0.57,0.02,0.01,579.84,337.24,1.01
alpha[49],-0.57,0.39,-1.26,0.19,0.01,0.01,797.47,955.35,1.0
alpha[50],-0.59,0.4,-1.34,0.15,0.02,0.02,496.61,314.86,1.01
alpha[51],0.22,0.33,-0.34,0.86,0.01,0.01,948.18,1125.51,1.0
alpha[52],-0.68,0.36,-1.34,0.02,0.01,0.01,863.25,1316.49,1.0
alpha[53],0.21,0.32,-0.36,0.8,0.01,0.01,1068.57,993.76,1.0
alpha[54],0.09,0.35,-0.59,0.75,0.01,0.01,711.96,1042.38,1.02
alpha[55],0.32,0.33,-0.29,0.93,0.01,0.01,701.35,565.06,1.01
alpha[56],0.03,0.37,-0.63,0.8,0.02,0.01,652.67,444.07,1.01
alpha[57],0.22,0.39,-0.52,0.98,0.02,0.01,676.33,435.86,1.0
alpha[58],-0.11,0.35,-0.79,0.51,0.01,0.01,1242.44,929.33,1.0
alpha[59],-0.24,0.33,-0.84,0.41,0.01,0.01,936.44,845.07,1.0
alpha[60],-0.29,0.38,-0.98,0.41,0.02,0.01,352.3,700.49,1.01
alpha[61],-0.4,0.37,-1.09,0.25,0.03,0.02,213.03,929.88,1.02
alpha[62],0.18,0.33,-0.41,0.82,0.01,0.01,739.56,450.05,1.0
alpha[63],0.02,0.33,-0.61,0.61,0.01,0.01,834.86,852.46,1.0
alpha[64],0.03,0.34,-0.59,0.66,0.01,0.01,1159.28,727.33,1.0
alpha[65],0.29,0.4,-0.45,1.03,0.02,0.01,498.53,900.77,1.02
alpha[66],-0.22,0.32,-0.86,0.35,0.01,0.01,987.0,618.55,1.0
alpha[67],-0.36,0.33,-0.97,0.22,0.01,0.01,634.06,573.84,1.0
alpha[68],0.09,0.36,-0.55,0.8,0.01,0.01,826.76,768.73,1.01
alpha[69],-0.64,0.35,-1.34,-0.02,0.01,0.01,985.87,1047.0,1.0
alpha[70],-0.06,0.37,-0.78,0.59,0.01,0.01,960.66,1059.54,1.0
alpha[71],-0.15,0.33,-0.76,0.44,0.01,0.01,813.26,487.59,1.0
alpha[72],0.16,0.31,-0.34,0.83,0.01,0.01,1362.5,1035.23,1.01
alpha[73],0.33,0.36,-0.43,0.94,0.01,0.01,623.71,898.97,1.01
alpha[74],0.4,0.32,-0.16,1.03,0.01,0.01,731.48,918.6,1.0
alpha[75],0.13,0.33,-0.49,0.76,0.01,0.01,800.12,883.29,1.0
alpha[76],-0.22,0.31,-0.82,0.32,0.01,0.01,1054.49,1310.57,1.0
alpha[77],0.0,0.39,-0.74,0.7,0.02,0.01,494.48,394.89,1.01
alpha[78],0.02,0.37,-0.71,0.67,0.01,0.01,804.32,598.56,1.01
alpha[79],-0.41,0.41,-1.16,0.34,0.01,0.01,1027.98,1049.3,1.0
alpha[80],0.51,0.4,-0.27,1.23,0.01,0.01,923.86,1128.73,1.0
alpha[81],-0.05,0.32,-0.66,0.55,0.01,0.01,1296.11,1137.74,1.0
